pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
20870092,Supreme,Supreme Box Logo Crewneck Fw18,l,$390,NA,NA,False,22 days, 3 hours ,NA,/listings/20870092-supreme-supreme-box-logo-crewneck-fw18,Glograilz,$20,(100),34 ,13 ,NA,81,https://www.grailed.com/Glograilz,https://www.grailed.com/Glograilz/feedback,Size: US L / EU 52-54 / 3,US,8
20883666,Supreme,Supreme Box Logo Motion Logo Photo Tee Sticker Bundle,os,$85,$68,NA,False,22 days, 7 hours ,20.0%,/listings/20883666-supreme-supreme-box-logo-motion-logo-photo-tee-sticker-bundle,mayonaise,NA,(749),225 ,34 ,NA,10,https://www.grailed.com/mayonaise,https://www.grailed.com/mayonaise/feedback,Size: ONE SIZE,NA,0
20662793,Levi's,Levi’s 512 Denim,34,NA,NA,$37,True,NA,Sold 1 minute ,NA,/listings/20662793-levi-s-levi-s-512-denim,supreme_vancouverr,NA,(24),7 ,6 ,NA,7,https://www.grailed.com/supreme_vancouverr,https://www.grailed.com/supreme_vancouverr/feedback,Size: US 34 / EU 50,NA,5
20235508,Comme des Garcons Homme,2000s Cdgh Reconstructed Football Flag/scarf,os,NA,NA,$250,True,NA,Sold 1 minute ,NA,/listings/20235508-comme-des-garcons-homme-2000s-cdgh-reconstructed-football-flag-scarf,akaaramin,NA,(5),0,2 ,NA,12,https://www.grailed.com/akaaramin,https://www.grailed.com/akaaramin,Size: ONE SIZE,NA,2
