pid,b_name,title,size,og_price,new_price,sold_price,is_sold,old_date,new_date,%p_change,Link,uname,ship_cost,amt_sold,amt_feedback,amt_listings,desc,amt_likes,prf_link,feed_link,size_desc,loc,amt_pics
20011654,Kapital,Kapital Boro Jacket,xl,"$2,385","$2,065",NA,False, 2 months, 1 month ,13.42%,/listings/20011654-kapital-kapital-boro-jacket,OBTAIND,$10,(632),294 ,225 ,"Kapital Boro Jacket:
• Size: JP 4 / X Large.
• Color: Blue
• Condition: Lightly Used.
• Additional: Insanely detailed. Extremely rare size.
Please Note:
• All items are guaranteed 100% authentic.
• All US orders ship via USPS.
• All International orders ship via UPS.
• Follow us for weekly listings.
- OBTAIND",246,https://www.grailed.com/OBTAIND,https://www.grailed.com/OBTAIND/feedback,Size: US XL / EU 56 / 4,US,9
20386394,Kapital × Kapital Kountry × Louis Vuitton,Kapital Boro Denim Jacket Aw2013 (og Lv X Kapital Vers.),m,"$2,600",NA,NA,False,NA, 1 month ,NA,/listings/20386394-kapital-x-kapital-kountry-x-louis-vuitton-kapital-boro-denim-jacket-aw2013-og-lv-x-kapital-vers,myworstfits,$10,(60),28 ,2 ,"Size 48, Fits Medium
this is from the first production run back in 2013 in collaboration with LV. this version features the bootleg levis tab.
features different patterns of denim and cotton twills
Cut and sewn in 🇯🇵
——
Although Toshikiyo’s obsession lies with denim and this remains as the brand’s core, it isn’t the only thing they specialize in. Ever since Kiro joined, Kapital have taken a turn for the better, the brand has expanded into other spaces; experimenting with dyes (natural and synthetic), cut & sewed garments, hand overstitching, as well as much more including the incorporation of Kiro’s obsession, bandanas! He says “for me personally, jeans and bandanas are both essential items when talking about work-wear… In my generation I want to put as much passion into bandanas as my father put into jeans”.
Kapital is a humble brand with passionate founders. They aren’t worried about expanding globally too quickly or compromising their principals, as long as they remain faithful to their work the natural progression of their brand will come with it along the way.
any questions? dm me @myworstfits",149,https://www.grailed.com/myworstfits,https://www.grailed.com/myworstfits/feedback,Size: US M / EU 48-50 / 2,US,6
21153136,Kapital × Kapital Kountry,Kapital Boro 1st Jacket (size 3),m,NA,NA,"$1,400",True,NA,Sold  19 hours ,NA,/listings/21153136-kapital-x-kapital-kountry-kapital-boro-1st-jacket-size-3,emersonguo,NA,(9),6 ,4 ,"Conditions are as shown in photos.
Worn for about 10 times
Size: JP 3. Please refer to the sizing chart for accurate measurements.
All sales are final.",118,https://www.grailed.com/emersonguo,https://www.grailed.com/emersonguo/feedback,Size: US M / EU 48-50 / 2,NA,7
20899424,Kapital × Kapital Kountry,Gauze Bandana Quilted Samu Work Jacket,xl,NA,NA,$800,True,NA,Sold  20 hours ,NA,/listings/20899424-kapital-x-kapital-kountry-gauze-bandana-quilted-samu-work-jacket,windfall,NA,(2531),1685 ,271 ,"From Kapital comes the Gauze Bandana Quilted Samu Work Jacket in size 4. The jacket features different bandanas sewn together to create a truly unique print. The jacket also features two drop pockets, interior pocket, light poly fill and an acetate lining. The jacket is brand new and never worn. The jacket is size 4 and fits true to size.
Garment Length 78 cm
Garment Width 56 cm
Sleeve Length 62 cm
Shoulder 49 cm
NO TRADES ❌
WILL SHIP WORLDWIDE 🌎
WILL NOT PROVIDE FIT PIC 👖
MESSAGE ME FOR ANY QUESTIONS 📨
Check out my wardrobe for other pieces from Visvim, Kapital, Number (N)ine, Supreme and more!",25,https://www.grailed.com/windfall,https://www.grailed.com/windfall/feedback,Size: US XL / EU 56 / 4,NA,6
